lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
2,1.3,0.4196127884499834,0.5612823432273667,0.5974605083465576,0.6881720423698425,0.681649923324585,0.741592288017273,2.9999001026153564
2,1.6,0.4260090332051307,0.5659593629941085,0.5988332033157349,0.6852394938468933,0.6943415999412537,0.7429649829864502,2.9999001026153564
3,1.3,0.42125300244171315,0.5626114123628517,0.5974605083465576,0.6871945261955261,0.6864092946052551,0.7429649829864502,2.9999001026153564
3,1.6,0.42484231511923465,0.5646142368208691,0.5978037118911743,0.6842619776725769,0.6938127875328064,0.7433081865310669,3.1249001026153564
4,1.3,0.42285317346825124,0.5646953837139459,0.5974605083465576,0.6881720423698425,0.688524603843689,0.7426218390464783,3.1249001026153564
4,1.6,0.4260956235897293,0.5647798783785107,0.5995195508003235,0.6842619776725769,0.6964569091796875,0.7419354915618896,2.9999001026153564
5,1.3,0.42482395991238153,0.5643348984929168,0.5981468558311462,0.6891495585441589,0.6901110410690308,0.7429649829864502,3.1249001026153564
5,1.6,0.42539156588340177,0.5628169191275545,0.5991764068603516,0.6842619776725769,0.6980433464050293,0.7419354915618896,3.2499001026153564
6,1.3,0.42291959039258553,0.5636883498427282,0.5978037118911743,0.6891495585441589,0.688524603843689,0.7419354915618896,3.1249001026153564
6,1.6,0.42465700781858917,0.5633566216223361,0.5991764068603516,0.6832844614982605,0.6980433464050293,0.7419354915618896,3.2499001026153564
7,1.3,0.42267353027000576,0.5639665120985382,0.5984900593757629,0.6871945261955261,0.6890534162521362,0.7429649829864502,3.1249001026153564
7,1.6,0.4250268589459445,0.5641362081708406,0.5988332033157349,0.6832844614982605,0.6969857215881348,0.7419354915618896,2.9999001026153564
8,1.3,0.42306872822935304,0.563224201904014,0.5984900593757629,0.6862170100212097,0.690639853477478,0.7426218390464783,3.1249001026153564
8,1.6,0.4274970215569436,0.5644188596716465,0.5991764068603516,0.6842619776725769,0.7001586556434631,0.741592288017273,3.1249001026153564
9,1.3,0.42270738756268145,0.5626680109562582,0.5984900593757629,0.6862170100212097,0.6895822286605835,0.7422786355018616,3.1249001026153564
9,1.6,0.42693330686729913,0.5623964470052387,0.5981468558311462,0.6842619776725769,0.6991010308265686,0.741249144077301,3.2499001026153564
10,1.3,0.4221560837068763,0.563224201904014,0.5981468558311462,0.6852394938468933,0.6901110410690308,0.7422786355018616,3.1249001026153564
10,1.6,0.42674359368863946,0.5631459638584075,0.5981468558311462,0.6842619776725769,0.6991010308265686,0.741249144077301,3.2499001026153564
