sim_threshold,correction_interval,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
0.05,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.05,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.05,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.05,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.05,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.05,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.05,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
0.7,10,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,15,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,20,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,25,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,30,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,35,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.7,40,0.4286942407904655,0.5519329780263622,0.563829779624939,0.6803519129753113,0.7207826375961304,0.7433081865310669,3.1249001026153564
0.1,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.1,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.1,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.1,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.1,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.1,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.1,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
0.12,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.12,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.12,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.12,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.12,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.12,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.12,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
0.15,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.15,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.15,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.15,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.15,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.15,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.15,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
0.17,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.17,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.17,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.17,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.17,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.17,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.17,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
0.2,10,0.425415851926191,0.5518980804417771,0.5861359238624573,0.67253178358078,0.7207826375961304,0.7443376779556274,2.4999001026153564
0.2,15,0.428566298963881,0.5538275123120371,0.5871654152870178,0.6744868159294128,0.7255420684814453,0.7433081865310669,2.4999001026153564
0.2,20,0.43033626916948897,0.5567024988634551,0.5864790678024292,0.6764418482780457,0.7250131964683533,0.7398764491081238,2.6249001026153564
0.2,25,0.43285347185610235,0.5589504506082787,0.5857927203178406,0.6813294291496277,0.724484384059906,0.7443376779556274,2.4999001026153564
0.2,30,0.4309294451087444,0.5561375684264055,0.585106372833252,0.6764418482780457,0.7234267592430115,0.7436513304710388,2.6249001026153564
0.2,35,0.4314621463328898,0.5579585885038757,0.5844200253486633,0.6774193644523621,0.7223691344261169,0.741249144077301,2.9999001026153564
0.2,40,0.43662784438081004,0.5637641044534977,0.5833905339241028,0.6783968806266785,0.73135906457901,0.741592288017273,2.9999001026153564
