lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
0.1,0.5,0.4053821866241809,0.5505726166481808,0.6039807796478271,0.6930596232414246,0.6536224484443665,0.7398764491081238,3.1249001026153564
0.1,0.8,0.40987741263445177,0.5543991316080025,0.6046671271324158,0.6920821070671082,0.6620835661888123,0.7385037541389465,3.2499001026153564
0.1,1.0,0.4102033478858278,0.554288752893979,0.6063829660415649,0.6930596232414246,0.6620835661888123,0.7395333051681519,3.1249001026153564
0.1,1.3,0.41243054080354025,0.5553024779834852,0.6053534746170044,0.6930596232414246,0.6652565002441406,0.7395333051681519,2.9999001026153564
0.1,1.6,0.4159239578037788,0.5582727958994237,0.6039807796478271,0.6901270747184753,0.6737176179885864,0.741249144077301,2.9999001026153564
0.5,0.5,0.40950755775858383,0.5559180297815086,0.6039807796478271,0.6930596232414246,0.6594394445419312,0.741249144077301,3.1249001026153564
0.5,0.8,0.41323617166332394,0.5605617183794184,0.6056966185569763,0.6959921717643738,0.663670003414154,0.7422786355018616,2.9999001026153564
0.5,1.0,0.4173775835418967,0.5611423808783417,0.6056966185569763,0.6959921717643738,0.6689582467079163,0.7419354915618896,3.1249001026153564
0.5,1.3,0.4162250821898503,0.5595997528644497,0.6029512882232666,0.6901270747184753,0.6721311211585999,0.7433081865310669,2.9999001026153564
0.5,1.6,0.41930444827576885,0.5634391497382478,0.5998627543449402,0.6881720423698425,0.6784769892692566,0.7429649829864502,3.1249001026153564
1.0,0.5,0.4117670653809764,0.5582752437077136,0.6046671271324158,0.6920821070671082,0.6652565002441406,0.7433081865310669,2.9999001026153564
1.0,0.8,0.41611781575067086,0.5604181014267003,0.6046671271324158,0.6930596232414246,0.6721311211585999,0.741249144077301,3.1249001026153564
1.0,1.0,0.4162243075464316,0.5592489647864693,0.5998627543449402,0.6911045908927917,0.6737176179885864,0.7422786355018616,2.9999001026153564
1.0,1.3,0.41907260441217764,0.5628791352268285,0.6005491018295288,0.6901270747184753,0.6779481768608093,0.7429649829864502,2.9999001026153564
1.0,1.6,0.42322483518961607,0.5659597423044653,0.5995195508003235,0.6862170100212097,0.688524603843689,0.7429649829864502,3.1249001026153564
1.5,0.5,0.413667045235139,0.5592445276319309,0.6039807796478271,0.6930596232414246,0.6689582467079163,0.741249144077301,3.1249001026153564
1.5,0.8,0.4162576405033924,0.5597695734982422,0.6005491018295288,0.6901270747184753,0.6742464303970337,0.7419354915618896,2.9999001026153564
1.5,1.0,0.4170188195043032,0.5606642443775495,0.6008922457695007,0.6901270747184753,0.6753040552139282,0.741249144077301,2.9999001026153564
1.5,1.3,0.418404722300612,0.5623773037077812,0.5978037118911743,0.6881720423698425,0.6790058016777039,0.7422786355018616,3.1249001026153564
1.5,1.6,0.4262886951126861,0.5666933809687795,0.5991764068603516,0.6862170100212097,0.6916975378990173,0.7433081865310669,2.9999001026153564
