lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
0.0001,0.5,0.39871092633490246,0.5407753377629905,0.5260809659957886,0.6803519129753113,0.6663141250610352,0.7357584238052368,3.6249001026153564
0.0001,0.6,0.4013873459464762,0.5416119562631276,0.5274536609649658,0.6823069453239441,0.6668429374694824,0.737474262714386,3.6249001026153564
0.0001,0.7,0.401122928335921,0.5410279611862028,0.5260809659957886,0.6803519129753113,0.6652565002441406,0.7367879152297974,3.4999001026153564
0.0001,0.8,0.4018487062589613,0.5421504973992388,0.5277968645095825,0.6823069453239441,0.667900562286377,0.737474262714386,3.6249001026153564
0.0001,0.9,0.4023211755302658,0.5416807724685795,0.5274536609649658,0.6823069453239441,0.6673717498779297,0.7385037541389465,3.6249001026153564
0.0001,1.0,0.40311726037456763,0.5425036055188565,0.5271105170249939,0.6823069453239441,0.6684293746948242,0.7385037541389465,3.6249001026153564
0.0001,1.1,0.4031617116685273,0.5426847996526495,0.5281400084495544,0.6823069453239441,0.667900562286377,0.7385037541389465,3.4999001026153564
0.0001,1.2,0.40475851506545,0.5445537872668746,0.529169499874115,0.6832844614982605,0.6700158715248108,0.7385037541389465,3.4999001026153564
0.0001,1.3,0.4058140865017723,0.5432782929323321,0.5301990509033203,0.6823069453239441,0.6716023087501526,0.7385037541389465,3.4999001026153564
0.0005,0.5,0.3999626799450704,0.5384091082848452,0.5257378220558167,0.6803519129753113,0.6657853126525879,0.7357584238052368,3.4999001026153564
0.0005,0.6,0.401121902418774,0.5412379043373164,0.5264241695404053,0.6813294291496277,0.6673717498779297,0.737474262714386,3.6249001026153564
0.0005,0.7,0.40088617715170816,0.541047765285935,0.5267673134803772,0.6813294291496277,0.6673717498779297,0.7367879152297974,3.6249001026153564
0.0005,0.8,0.402682514075952,0.5418752177554405,0.5277968645095825,0.6823069453239441,0.6684293746948242,0.7385037541389465,3.6249001026153564
0.0005,0.9,0.4036176493651453,0.5425036055188565,0.5274536609649658,0.6813294291496277,0.6700158715248108,0.737474262714386,3.6249001026153564
0.0005,1.0,0.40454941108884324,0.5434233425015514,0.5288263559341431,0.6823069453239441,0.6700158715248108,0.7381606101989746,3.4999001026153564
0.0005,1.1,0.4049660621671545,0.5438144768600621,0.5284832119941711,0.6823069453239441,0.6700158715248108,0.7388469576835632,3.4999001026153564
0.0005,1.2,0.40615008946942255,0.545010552060871,0.5288263559341431,0.6842619776725769,0.6710734963417053,0.7385037541389465,3.4999001026153564
0.0005,1.3,0.40587947993278917,0.5434590690034341,0.5298558473587036,0.6823069453239441,0.6716023087501526,0.7388469576835632,3.4999001026153564
0.0008,0.5,0.39992727847403453,0.5407753377629905,0.5260809659957886,0.6803519129753113,0.6668429374694824,0.7354152202606201,3.6249001026153564
0.0008,0.6,0.400886182943451,0.54151473811245,0.5274536609649658,0.6803519129753113,0.6673717498779297,0.737474262714386,3.6249001026153564
0.0008,0.7,0.40084819355326395,0.5407714086358553,0.5267673134803772,0.6813294291496277,0.6668429374694824,0.7367879152297974,3.6249001026153564
0.0008,0.8,0.4016036768471598,0.5418752177554405,0.5281400084495544,0.6813294291496277,0.667900562286377,0.7378174066543579,3.6249001026153564
0.0008,0.9,0.4026315894542165,0.5416807724685795,0.5277968645095825,0.6813294291496277,0.6684293746948242,0.737474262714386,3.6249001026153564
0.0008,1.0,0.40372465243225397,0.5434450657464771,0.529169499874115,0.6823069453239441,0.6689582467079163,0.7381606101989746,3.6249001026153564
0.0008,1.1,0.4039937049720246,0.5432502033982043,0.5284832119941711,0.6823069453239441,0.6694870591163635,0.7381606101989746,3.4999001026153564
0.0008,1.2,0.40596864752720085,0.5447278788006739,0.529169499874115,0.6842619776725769,0.6705446839332581,0.7385037541389465,3.4999001026153564
0.0008,1.3,0.4055349483444788,0.543178565371207,0.5295127034187317,0.6823069453239441,0.6705446839332581,0.7385037541389465,3.4999001026153564
0.001,0.5,0.3994253280378617,0.5384091082848452,0.5253946185112,0.6803519129753113,0.6641988158226013,0.7354152202606201,3.4999001026153564
0.001,0.6,0.40090169442478985,0.5400054198085392,0.5264241695404053,0.6803519129753113,0.6652565002441406,0.7367879152297974,3.4999001026153564
0.001,0.7,0.40102885839713487,0.541323852092666,0.5264241695404053,0.6813294291496277,0.6668429374694824,0.7367879152297974,3.6249001026153564
0.001,0.8,0.40142611478550494,0.5415996694510805,0.5277968645095825,0.6813294291496277,0.6673717498779297,0.737474262714386,3.6249001026153564
0.001,0.9,0.4017479018109209,0.5418752177554405,0.5274536609649658,0.6813294291496277,0.6673717498779297,0.7371311187744141,3.6249001026153564
0.001,1.0,0.40281407827972227,0.5431701141918632,0.5281400084495544,0.6823069453239441,0.6673717498779297,0.7381606101989746,3.6249001026153564
0.001,1.1,0.4042713013350281,0.5435324772277279,0.5288263559341431,0.6823069453239441,0.6689582467079163,0.7381606101989746,3.4999001026153564
0.001,1.2,0.40563987903882825,0.5447278788006739,0.529169499874115,0.6842619776725769,0.6700158715248108,0.7381606101989746,3.4999001026153564
0.001,1.3,0.40602654484403145,0.543178565371207,0.5301990509033203,0.6823069453239441,0.6710734963417053,0.7381606101989746,3.4999001026153564
0.002,0.5,0.4016882032490061,0.5404591392338092,0.5260809659957886,0.6813294291496277,0.6652565002441406,0.7364447712898254,3.9999001026153564
0.002,0.6,0.4012066745741092,0.5410279611862028,0.5264241695404053,0.6803519129753113,0.6647276282310486,0.737474262714386,3.4999001026153564
0.002,0.7,0.4000192844410515,0.5415996694510805,0.5267673134803772,0.6793743968009949,0.6663141250610352,0.7361015677452087,3.6249001026153564
0.002,0.8,0.40170758460639244,0.5415996694510805,0.5271105170249939,0.6813294291496277,0.6673717498779297,0.7371311187744141,3.6249001026153564
0.002,0.9,0.40249874084628856,0.542974759212972,0.5281400084495544,0.6813294291496277,0.667900562286377,0.7361015677452087,3.6249001026153564
0.002,1.0,0.4030523836716505,0.5437063655105299,0.5295127034187317,0.6823069453239441,0.6673717498779297,0.7371311187744141,3.4999001026153564
0.002,1.1,0.40411880895793306,0.5438144768600621,0.529169499874115,0.6823069453239441,0.6689582467079163,0.7364447712898254,3.4999001026153564
0.002,1.2,0.406276217004764,0.5451173663698914,0.5298558473587036,0.6832844614982605,0.6705446839332581,0.7378174066543579,3.4999001026153564
0.002,1.3,0.40643543913699887,0.5450399950698664,0.5301990509033203,0.6823069453239441,0.6716023087501526,0.7385037541389465,3.4999001026153564
