lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
2,4.5,0.4378129063330438,0.5679687309424348,0.5881949067115784,0.6862170100212097,0.7144368290901184,0.7405627965927124,3.1249001026153564
2,5,0.4396175249713763,0.5702448095663549,0.5861359238624573,0.6832844614982605,0.7218403220176697,0.741249144077301,3.1249001026153564
2,5.5,0.4408286907656631,0.5686095913507035,0.5837336778640747,0.6852394938468933,0.724484384059906,0.7419354915618896,2.9999001026153564
2,6,0.44059270801432193,0.5687729370235924,0.5833905339241028,0.6862170100212097,0.7260708808898926,0.7429649829864502,2.9999001026153564
2,6.5,0.44126187908841086,0.567372382775627,0.5837336778640747,0.6852394938468933,0.7265996932983398,0.7433081865310669,2.8749001026153564
2,7,0.44193130099843714,0.5685717945473893,0.5827041864395142,0.6832844614982605,0.729243814945221,0.7429649829864502,2.8749001026153564
3,4.5,0.43820861542139156,0.568342933091263,0.5875085592269897,0.6842619776725769,0.7170808911323547,0.7422786355018616,3.1249001026153564
3,5,0.44083436774229234,0.5713323906248994,0.58476322889328,0.6832844614982605,0.7239555716514587,0.741592288017273,3.1249001026153564
3,5.5,0.44066274607427314,0.5689630169784772,0.5823610424995422,0.6842619776725769,0.7250131964683533,0.7419354915618896,2.9999001026153564
3,6,0.4388483198860973,0.5678402397611353,0.5833905339241028,0.6842619776725769,0.724484384059906,0.7429649829864502,2.9999001026153564
3,6.5,0.44022438984945955,0.5668402028067441,0.5827041864395142,0.6852394938468933,0.724484384059906,0.7443376779556274,2.8749001026153564
3,7,0.4420773378646823,0.5688046639059058,0.5806451439857483,0.6842619776725769,0.729243814945221,0.7433081865310669,2.8749001026153564
4,4.5,0.4394355537955761,0.5680288395778228,0.5871654152870178,0.6852394938468933,0.718138575553894,0.7422786355018616,2.9999001026153564
4,5,0.44023757804769037,0.5710701053025975,0.585106372833252,0.6832844614982605,0.7234267592430115,0.741249144077301,3.1249001026153564
4,5.5,0.43943658765195526,0.5676381308635123,0.5830473303794861,0.6832844614982605,0.724484384059906,0.7409060001373291,2.9999001026153564
4,6,0.438374811880458,0.5665851690778986,0.5833905339241028,0.6832844614982605,0.724484384059906,0.7426218390464783,2.9999001026153564
4,6.5,0.4382352373721625,0.5666203423500141,0.5830473303794861,0.6832844614982605,0.7239555716514587,0.7439945340156555,2.8749001026153564
