lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
0.001,0.5,0.3994253280378617,0.5384091082848452,0.5253946185112,0.6803519129753113,0.6641988158226013,0.7354152202606201,3.4999001026153564
0.001,0.8,0.40142611478550494,0.5415996694510805,0.5277968645095825,0.6813294291496277,0.6673717498779297,0.737474262714386,3.6249001026153564
0.001,1.0,0.40281407827972227,0.5431701141918632,0.5281400084495544,0.6823069453239441,0.6673717498779297,0.7381606101989746,3.6249001026153564
0.003,0.5,0.4018458621157448,0.5404591392338092,0.5253946185112,0.6813294291496277,0.6657853126525879,0.7367879152297974,3.9999001026153564
0.003,0.8,0.4027396325781041,0.5426193765041301,0.5267673134803772,0.6813294291496277,0.6689582467079163,0.737474262714386,3.6249001026153564
0.003,1.0,0.40484561312532064,0.5442715874935159,0.5295127034187317,0.6823069453239441,0.6694870591163635,0.7367879152297974,3.4999001026153564
0.005,0.5,0.4018326817959741,0.5405778447393472,0.5243651270866394,0.6813294291496277,0.6657853126525879,0.7364447712898254,3.4999001026153564
0.005,0.8,0.4020609051026375,0.5422579093502997,0.5264241695404053,0.6823069453239441,0.6668429374694824,0.7371311187744141,3.6249001026153564
0.005,1.0,0.4032291711928637,0.5425111472676496,0.5274536609649658,0.6823069453239441,0.667900562286377,0.7364447712898254,3.4999001026153564
0.01,0.5,0.4014778073017595,0.540863638103627,0.5257378220558167,0.6803519129753113,0.6652565002441406,0.7367879152297974,3.4999001026153564
0.01,0.8,0.4030366143196449,0.5430874120657944,0.5277968645095825,0.6813294291496277,0.667900562286377,0.737474262714386,3.6249001026153564
0.01,1.0,0.4048621521819884,0.544479944545419,0.5277968645095825,0.6803519129753113,0.6710734963417053,0.7378174066543579,3.4999001026153564
